case,case_name,depth,time,nodes,branching,cutoffs,checkmates,draws,dynamic_allocs
0,Start state,1,0.00,21,20.00,0.00,0,0,1
0,Start state,2,0.00,138,20.00,3.08,0,0,0
0,Start state,3,0.02,2126,21.17,6.06,0,0,2
0,Start state,4,0.41,21153,21.49,8.78,0,0,0
0,Start state,5,1.30,103048,22.51,11.00,0,0,1
0,Start state,6,11.36,1616464,23.84,14.78,1,0,0
1,Early game 1,1,0.00,7,6.00,0.00,0,0,0
1,Early game 1,2,0.00,240,11.32,0.12,0,0,0
1,Early game 1,3,0.01,897,18.88,9.99,0,0,0
1,Early game 1,4,0.03,4400,22.70,14.47,0,0,0
1,Early game 1,5,0.17,19209,26.06,19.54,0,0,0
1,Early game 1,6,1.28,148015,29.51,23.96,0,0,0
2,Early game 2,1,0.00,49,48.00,0.00,0,0,0
2,Early game 2,2,0.00,181,46.19,12.73,0,0,0
2,Early game 2,3,0.02,2763,46.79,18.50,0,0,0
2,Early game 2,4,0.14,9632,45.77,26.61,0,0,0
2,Early game 2,5,0.61,95458,45.33,29.93,0,0,0
2,Early game 2,6,4.13,332132,45.06,34.24,0,0,0
3,Mid game 1,1,0.00,34,33.00,0.00,0,0,0
3,Mid game 1,2,0.00,190,29.65,5.67,0,0,0
3,Mid game 1,3,0.01,1718,29.32,8.24,0,0,0
3,Mid game 1,4,0.06,6300,26.53,12.02,0,0,0
3,Mid game 1,5,0.37,65198,26.79,14.86,0,0,0
3,Mid game 1,6,2.59,253043,24.86,16.70,0,0,0
4,Mid game 2,1,0.00,31,30.00,0.00,0,0,0
4,Mid game 2,2,0.00,100,27.11,7.82,0,0,0
4,Mid game 2,3,0.00,1045,26.93,9.02,0,0,0
4,Mid game 2,4,0.13,9468,24.64,15.72,0,0,0
4,Mid game 2,5,0.44,62467,25.31,17.99,0,0,0
4,Mid game 2,6,3.67,309990,23.78,19.11,0,0,0
5,Late game 1,1,0.00,15,14.00,0.00,0,0,0
5,Late game 1,2,0.00,45,13.69,4.63,0,0,0
5,Late game 1,3,0.00,463,13.29,5.31,0,0,0
5,Late game 1,4,0.01,1347,14.50,8.59,0,0,0
5,Late game 1,5,0.05,8349,14.75,9.52,0,0,0
5,Late game 1,6,0.32,28850,15.51,11.85,0,0,0
6,Late game 2,1,0.00,40,39.00,0.00,0,0,0
6,Late game 2,2,0.00,122,25.93,2.16,0,0,0
6,Late game 2,3,0.01,1842,25.93,2.29,0,0,0
6,Late game 2,4,0.06,5189,17.46,2.67,3,0,0
6,Late game 2,5,0.29,80349,18.06,2.69,9,0,0
6,Late game 2,6,3.36,280213,12.46,3.50,376,15,0
