case,case_name,depth,time,nodes,branching,cutoffs,checkmates,draws,dynamic_allocs
0,Start state,1,0.00,21,20.00,0.00,0,0,1
0,Start state,2,0.00,138,20.00,3.08,0,0,0
0,Start state,3,0.02,2126,21.17,6.06,0,0,1
0,Start state,4,0.12,21153,21.49,8.78,0,0,0
0,Start state,5,0.45,103048,22.51,11.00,0,0,1
0,Start state,6,5.79,1616464,23.84,14.78,1,0,0
1,Early game 1,1,0.00,7,6.00,0.00,0,0,0
1,Early game 1,2,0.00,240,11.32,0.12,0,0,0
1,Early game 1,3,0.00,897,18.88,9.99,0,0,0
1,Early game 1,4,0.02,4400,22.70,14.47,0,0,0
1,Early game 1,5,0.07,19209,26.06,19.54,0,0,0
1,Early game 1,6,0.52,148015,29.51,23.96,0,0,0
2,Early game 2,1,0.00,49,48.00,0.00,0,0,0
2,Early game 2,2,0.00,181,46.19,12.73,0,0,0
2,Early game 2,3,0.01,2763,46.79,18.50,0,0,0
2,Early game 2,4,0.06,9632,45.77,26.61,0,0,0
2,Early game 2,5,0.30,95458,45.33,29.93,0,0,0
2,Early game 2,6,1.55,332132,45.06,34.24,0,0,0
3,Mid game 1,1,0.00,34,33.00,0.00,0,0,0
3,Mid game 1,2,0.00,190,29.65,5.67,0,0,0
3,Mid game 1,3,0.00,1718,29.32,8.24,0,0,0
3,Mid game 1,4,0.01,6300,26.53,12.02,0,0,0
3,Mid game 1,5,0.13,65186,26.78,14.82,0,0,0
3,Mid game 1,6,0.60,253388,24.85,16.68,0,0,0
4,Mid game 2,1,0.00,31,30.00,0.00,0,0,0
4,Mid game 2,2,0.00,100,27.11,7.82,0,0,0
4,Mid game 2,3,0.00,975,26.85,9.53,0,0,0
4,Mid game 2,4,0.04,9663,24.50,16.10,0,0,0
4,Mid game 2,5,0.15,61738,25.18,18.25,0,0,0
4,Mid game 2,6,1.02,308139,23.71,19.28,0,0,0
5,Late game 1,1,0.00,15,14.00,0.00,0,0,0
5,Late game 1,2,0.00,45,13.69,4.63,0,0,0
5,Late game 1,3,0.00,463,13.29,5.31,0,0,0
5,Late game 1,4,0.00,1363,14.48,8.52,0,0,0
5,Late game 1,5,0.01,7745,14.71,9.47,0,0,0
5,Late game 1,6,0.09,28055,15.44,11.79,0,0,0
6,Late game 2,1,0.00,40,39.00,0.00,0,0,0
6,Late game 2,2,0.00,122,25.93,2.16,0,0,0
6,Late game 2,3,0.00,1843,25.93,2.29,0,0,0
6,Late game 2,4,0.01,5243,17.35,2.68,3,0,0
6,Late game 2,5,0.12,76619,17.90,2.70,9,0,0
6,Late game 2,6,0.43,276190,12.26,3.52,376,15,0
