case,case_name,depth,time,nodes,branching,cutoffs,checkmates,draws,dynamic_allocs
0,Start state,1,0.00,21,20.00,0.00,0,0,3
0,Start state,2,0.00,138,20.00,3.08,0,0,1
0,Start state,3,0.01,2126,21.17,6.06,0,0,3
0,Start state,4,0.09,21153,21.49,8.78,0,0,1
0,Start state,5,0.48,103048,22.51,11.00,0,0,2
0,Start state,6,4.46,1616463,23.84,14.78,1,0,0
1,Early game 1,1,0.00,7,6.00,0.00,0,0,0
1,Early game 1,2,0.00,240,11.32,0.12,0,0,0
1,Early game 1,3,0.00,897,18.88,9.99,0,0,0
1,Early game 1,4,0.02,4400,22.70,14.47,0,0,0
1,Early game 1,5,0.06,19091,26.06,19.54,0,0,0
1,Early game 1,6,0.78,147491,29.47,23.92,0,0,0
2,Early game 2,1,0.00,49,48.00,0.00,0,0,0
2,Early game 2,2,0.00,181,46.19,12.73,0,0,0
2,Early game 2,3,0.01,2819,46.81,18.51,0,0,0
2,Early game 2,4,0.09,9712,45.77,26.55,0,0,0
2,Early game 2,5,0.33,92307,45.17,29.91,0,0,0
2,Early game 2,6,1.53,322207,44.86,34.11,0,0,0
3,Mid game 1,1,0.00,34,33.00,0.00,0,0,0
3,Mid game 1,2,0.00,190,29.65,5.67,0,0,0
3,Mid game 1,3,0.00,1718,29.32,8.24,0,0,0
3,Mid game 1,4,0.02,6300,26.49,11.97,0,0,0
3,Mid game 1,5,0.20,65255,26.74,14.77,0,0,0
3,Mid game 1,6,0.79,253131,24.82,16.64,0,0,0
4,Mid game 2,1,0.00,31,30.00,0.00,0,0,0
4,Mid game 2,2,0.00,100,27.11,7.82,0,0,0
4,Mid game 2,3,0.00,975,26.85,9.53,0,0,0
4,Mid game 2,4,0.03,9663,24.50,16.10,0,0,0
4,Mid game 2,5,0.14,61752,25.18,18.25,0,0,0
4,Mid game 2,6,0.97,307714,23.71,19.28,0,0,0
5,Late game 1,1,0.00,15,14.00,0.00,0,0,0
5,Late game 1,2,0.00,45,13.69,4.63,0,0,0
5,Late game 1,3,0.00,463,13.29,5.31,0,0,0
5,Late game 1,4,0.00,1342,14.49,8.54,0,0,0
5,Late game 1,5,0.01,7583,14.72,9.52,0,0,0
5,Late game 1,6,0.07,27669,15.47,11.86,0,0,0
6,Late game 2,1,0.00,40,39.00,0.00,0,0,0
6,Late game 2,2,0.00,122,25.93,2.16,0,0,0
6,Late game 2,3,0.00,1843,25.93,2.29,0,0,0
6,Late game 2,4,0.01,5243,17.35,2.69,3,0,0
6,Late game 2,5,0.11,76535,17.90,2.71,9,0,0
6,Late game 2,6,0.52,275981,12.24,3.50,377,16,0
